source,target,weight
Algeria,Crude Oil,9375616.651835075
Algeria,Fuel Oil,3578730.487389352
Algeria,Gas/diesel oil,4644369.027349201
Algeria,Kerosenes,3862362.223906271
Algeria,Kerosenes of which: kerosene type jet fuel,3340753.521730331
Algeria,Liquefied petroleum gases,6100771.303935597
Algeria,Motor and aviation gasoline,4902970.089530306
Algeria,NGL,7015934.730714612
Algeria,Naphtha,4120001.435853587
Algeria,Other,2702353.31728027
Algeria,Other oil products,2821545.34231721
Algeria,Total,7565366.981267239
Algeria,Total oil products,7254502.0
Bahrain,Crude Oil,5002311.821309735
Bahrain,Fuel Oil,3544531.500199955
Bahrain,Gas/diesel oil,4088568.6616709
Bahrain,Kerosenes,4108681.160960166
Bahrain,Kerosenes of which: kerosene type jet fuel,3557127.519339913
Bahrain,Liquefied petroleum gases,5857353.334400538
Bahrain,Motor and aviation gasoline,4202648.675308825
Bahrain,NGL,4161200.0
Bahrain,Naphtha,3986983.998931475
Bahrain,Other,3115400.0
Bahrain,Other oil products,3357768.910359566
Bahrain,Total,91461.0
Bahrain,Total oil products,4876087.0
Canada,Crude Oil,23124309.02190662
Canada,Fuel Oil,4085095.116248715
Canada,Gas/diesel oil,8378407.711699536
Canada,Kerosenes,4915151.369466556
Canada,Kerosenes of which: kerosene type jet fuel,4090738.333104035
Canada,Liquefied petroleum gases,6932571.922816597
Canada,Motor and aviation gasoline,9282018.133481922
Canada,NGL,7057757.602560519
Canada,Naphtha,3744723.748753353
Canada,Other,7643042.1477255775
Canada,Other oil products,8478852.207451021
Canada,Total,20483113.696037218
Canada,Total oil products,20563001.21144934
China,Crude Oil,51259875.94697422
China,Fuel Oil,5837577.204990332
China,Gas/diesel oil,15361276.269537222
China,Kerosenes,5107730.285355558
China,Liquefied petroleum gases,8190765.853957057
China,Motor and aviation gasoline,12104149.859569816
China,Naphtha,4364187.128371198
China,Other oil products,8605939.893428722
China,Total,41627479.66669944
China,Total oil products,49833293.3456551
India,Crude Oil,25311147.76083711
India,Fuel Oil,4550876.713032454
India,Gas/diesel oil,13742132.593721228
India,Kerosenes,5888795.201327961
India,Kerosenes of which: kerosene type jet fuel,4117294.507395419
India,Liquefied petroleum gases,8719010.40260216
India,Motor and aviation gasoline,8287977.914782476
India,NGL,3883100.0
India,Naphtha,5399562.467688859
India,Other,3130200.0
India,Other oil products,5875858.245270838
India,Total,1961581.0
India,Total oil products,30052337.0
Iraq,Crude Oil,15998761.746150725
Iraq,Fuel Oil,8702184.49215223
Iraq,Gas/diesel oil,4385695.696632943
Iraq,Kerosenes,7185259.833442226
Iraq,Kerosenes of which: kerosene type jet fuel,3176128.049229261
Iraq,Liquefied petroleum gases,11928869.260005642
Iraq,Motor and aviation gasoline,4774025.760978332
Iraq,NGL,4967000.911540475
Iraq,Naphtha,7384408.737637679
Iraq,Other,139790.111974129
Iraq,Other oil products,6315410.093764244
Iraq,Total,10960322.06935947
Iraq,Total oil products,7388713.0
Kuwait,Crude Oil,15265235.557435973
