node,degree_centrality,closeness_centrality,betweenness_centrality
Algeria,0.40625,0.6274509803921569,0.009119805466085389
Crude Oil,0.625,0.7272727272727273,0.03266339828795667
Fuel Oil,0.625,0.7272727272727273,0.03266339828795667
Gas/diesel oil,0.625,0.7272727272727273,0.03266339828795667
Kerosenes,0.625,0.7272727272727273,0.03266339828795667
Kerosenes of which: kerosene type jet fuel,0.59375,0.6956521739130435,0.028157832522389264
Liquefied petroleum gases,0.625,0.7272727272727273,0.03266339828795667
Motor and aviation gasoline,0.625,0.7272727272727273,0.03266339828795667
NGL,0.59375,0.6956521739130435,0.028157832522389264
Naphtha,0.625,0.7272727272727273,0.03266339828795667
Other,0.53125,0.64,0.021450754560918883
Other oil products,0.625,0.7272727272727273,0.03266339828795667
Total,0.5625,0.6666666666666666,0.02544041515753128
Total oil products,0.625,0.7272727272727273,0.03266339828795667
Bahrain,0.40625,0.6274509803921569,0.009119805466085389
Canada,0.40625,0.6274509803921569,0.009119805466085389
China,0.3125,0.5614035087719298,0.0048152645111605216
India,0.40625,0.6274509803921569,0.009119805466085389
Iraq,0.40625,0.6274509803921569,0.009119805466085389
Kuwait,0.40625,0.6274509803921569,0.009119805466085389
Libya,0.40625,0.6274509803921569,0.009119805466085389
Mexico,0.40625,0.6274509803921569,0.009119805466085389
Morocco,0.40625,0.6274509803921569,0.009119805466085389
Norway,0.40625,0.6274509803921569,0.009119805466085389
Oman,0.40625,0.6274509803921569,0.009119805466085389
Qatar,0.40625,0.6274509803921569,0.009119805466085389
Russia,0.375,0.6037735849056604,0.007322659836651927
Saudi Arabia,0.40625,0.6274509803921569,0.009119805466085389
Syria,0.34375,0.5818181818181818,0.0058381949210706925
Tunisia,0.40625,0.6274509803921569,0.009119805466085389
United Arab Emirates,0.40625,0.6274509803921569,0.009119805466085389
United States,0.40625,0.6274509803921569,0.009119805466085389
Yemen,0.375,0.6037735849056604,0.007477961015686068
