Date,Country,Region,FuelType,Price,RowId
1/5/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.675,1
1/5/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.609,2
1/5/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.769,3
1/5/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,50.91,4
1/5/2015,Brazil,Latin America,Geopolitical_Risk_Index,20.4,5
1/5/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,6
1/12/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.687,7
1/12/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.602,8
1/12/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.565,9
1/12/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,51.57,10
1/12/2015,Brazil,Latin America,Geopolitical_Risk_Index,23.5,11
1/12/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,12
1/19/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.71,13
1/19/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.642,14
1/19/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.76,15
1/19/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,53.96,16
1/19/2015,Brazil,Latin America,Geopolitical_Risk_Index,21.1,17
1/19/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,18
1/26/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.802,19
1/26/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.713,20
1/26/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,21
1/26/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,58.69,22
1/26/2015,Brazil,Latin America,Geopolitical_Risk_Index,24.5,23
1/26/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,24
2/2/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.685,25
2/2/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.65,26
2/2/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.5,27
2/2/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,52.61,28
2/2/2015,Brazil,Latin America,Geopolitical_Risk_Index,25.4,29
2/2/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,30
2/9/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.752,31
2/9/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.677,32
2/9/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.504,33
2/9/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,56.93,34
2/9/2015,Brazil,Latin America,Geopolitical_Risk_Index,26.9,35
2/9/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,36
2/16/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.796,37
2/16/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.682,38
2/16/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.989,39
2/16/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,58.99,40
2/16/2015,Brazil,Latin America,Geopolitical_Risk_Index,28.9,41
2/16/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,42
2/23/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.754,43
2/23/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.676,44
2/23/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.815,45
2/23/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,56.16,46
2/23/2015,Brazil,Latin America,Geopolitical_Risk_Index,29.7,47
2/23/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,48
3/2/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.789,49
3/2/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.719,50
3/2/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.589,51
3/2/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,59.08,52
3/2/2015,Brazil,Latin America,Geopolitical_Risk_Index,23.2,53
3/2/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,54
3/9/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.814,55
3/9/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.699,56
3/9/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,2.078,57
3/9/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,60.67,58
3/9/2015,Brazil,Latin America,Geopolitical_Risk_Index,21.5,59
3/9/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,60
3/16/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.792,61
3/16/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.708,62
3/16/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.617,63
3/16/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,59.27,64
3/16/2015,Brazil,Latin America,Geopolitical_Risk_Index,27.7,65
3/16/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,66
3/23/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.768,67
3/23/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.707,68
3/23/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.853,69
3/23/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,59.56,70
3/23/2015,Brazil,Latin America,Geopolitical_Risk_Index,22.7,71
3/23/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,72
3/30/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.792,73
3/30/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.701,74
3/30/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.774,75
3/30/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,59.89,76
3/30/2015,Brazil,Latin America,Geopolitical_Risk_Index,24.5,77
3/30/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,78
4/6/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.782,79
4/6/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.682,80
4/6/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,1.74,81
4/6/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,57.41,82
4/6/2015,Brazil,Latin America,Geopolitical_Risk_Index,28,83
4/6/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,84
4/13/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.745,85
4/13/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.663,86
4/13/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,2.035,87
4/13/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,56.78,88
4/13/2015,Brazil,Latin America,Geopolitical_Risk_Index,28.8,89
4/13/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,90
4/20/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.807,91
4/20/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.73,92
4/20/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,2.056,93
4/20/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,61.61,94
4/20/2015,Brazil,Latin America,Geopolitical_Risk_Index,26.7,95
4/20/2015,Brazil,Latin America,Tax_Rate_on_Fuel (%),20,96
4/27/2015,Brazil,Latin America,Petrol_Price_USD_per_Liter,0.761,97
4/27/2015,Brazil,Latin America,Diesel_Price_USD_per_Liter,0.666,98
4/27/2015,Brazil,Latin America,Natural_Gas_Price_USD_per_MMBtu,2.007,99
4/27/2015,Brazil,Latin America,Crude_Oil_Price_USD_per_Barrel,58.07,100
