Country,CountryCode,Year,IndicatorName,IndicatorValue,RowId
Afghanistan,AFG,2015,GDP growth (annual %),1.451314661,1
Afghanistan,AFG,2015,GDP per capita (current US$),565.5697304,2
Afghanistan,AFG,2015,"Inflation, consumer prices (annual %)",-0.661709165,3
Afghanistan,AFG,2015,Urban population (% of total population),24.46491184,4
Afghanistan,AFG,2015,Trade (% of GDP),NULL,5
Afghanistan,AFG,2015,"Foreign direct investment, net inflows (% of GDP)",0.884000463,6
Afghanistan,AFG,2015,Access to electricity (% of population),71.5,7
Afghanistan,AFG,2015,Electric power consumption (kWh per capita),NULL,8
Afghanistan,AFG,2015,Gross savings (% of GDP),NULL,9
Afghanistan,AFG,2016,GDP growth (annual %),2.260314203,10
Afghanistan,AFG,2016,GDP per capita (current US$),522.0822156,11
Afghanistan,AFG,2016,"Inflation, consumer prices (annual %)",4.383891955,12
Afghanistan,AFG,2016,Urban population (% of total population),24.65883457,13
Afghanistan,AFG,2016,Trade (% of GDP),NULL,14
Afghanistan,AFG,2016,"Foreign direct investment, net inflows (% of GDP)",0.516606085,15
Afghanistan,AFG,2016,Access to electricity (% of population),97.7,16
Afghanistan,AFG,2016,Electric power consumption (kWh per capita),NULL,17
Afghanistan,AFG,2016,Gross savings (% of GDP),NULL,18
Afghanistan,AFG,2017,GDP growth (annual %),2.647003203,19
Afghanistan,AFG,2017,GDP per capita (current US$),525.4697709,20
Afghanistan,AFG,2017,"Inflation, consumer prices (annual %)",4.975951506,21
Afghanistan,AFG,2017,Urban population (% of total population),24.83528212,22
Afghanistan,AFG,2017,Trade (% of GDP),NULL,23
Afghanistan,AFG,2017,"Foreign direct investment, net inflows (% of GDP)",0.274796792,24
Afghanistan,AFG,2017,Access to electricity (% of population),97.7,25
Afghanistan,AFG,2017,Electric power consumption (kWh per capita),NULL,26
Afghanistan,AFG,2017,Gross savings (% of GDP),NULL,27
Afghanistan,AFG,2018,GDP growth (annual %),1.189228129,28
Afghanistan,AFG,2018,GDP per capita (current US$),491.3372214,29
Afghanistan,AFG,2018,"Inflation, consumer prices (annual %)",0.626149149,30
Afghanistan,AFG,2018,Urban population (% of total population),24.99916452,31
Afghanistan,AFG,2018,Trade (% of GDP),NULL,32
Afghanistan,AFG,2018,"Foreign direct investment, net inflows (% of GDP)",0.661572218,33
Afghanistan,AFG,2018,Access to electricity (% of population),93.4,34
Afghanistan,AFG,2018,Electric power consumption (kWh per capita),NULL,35
Afghanistan,AFG,2018,Gross savings (% of GDP),NULL,36
Afghanistan,AFG,2019,GDP growth (annual %),3.911603416,37
Afghanistan,AFG,2019,GDP per capita (current US$),496.6025043,38
Afghanistan,AFG,2019,"Inflation, consumer prices (annual %)",2.302372515,39
Afghanistan,AFG,2019,Urban population (% of total population),25.14372588,40
Afghanistan,AFG,2019,Trade (% of GDP),NULL,41
Afghanistan,AFG,2019,"Foreign direct investment, net inflows (% of GDP)",0.124495985,42
Afghanistan,AFG,2019,Access to electricity (% of population),97.7,43
Afghanistan,AFG,2019,Electric power consumption (kWh per capita),NULL,44
Afghanistan,AFG,2019,Gross savings (% of GDP),NULL,45
Afghanistan,AFG,2020,GDP growth (annual %),-2.351100672,46
Afghanistan,AFG,2020,GDP per capita (current US$),510.7870634,47
Afghanistan,AFG,2020,"Inflation, consumer prices (annual %)",5.601887915,48
Afghanistan,AFG,2020,Urban population (% of total population),25.26221034,49
Afghanistan,AFG,2020,Trade (% of GDP),46.70989455,50
